#dif_id	chip_id	chan_id	view	plane	slot	grid	x	y	z
4	3	22	0	7	12	0	-187.5	0	201
4	3	23	0	6	12	0	-187.5	0	144
4	3	24	0	7	45	1	-224.9	0	186.6
4	3	25	0	6	45	1	-224.9	0	129.6
4	3	26	0	6	44	1	-274.9	0	129.6
4	3	27	0	7	44	1	-274.9	0	186.6
4	3	28	0	6	46	1	-174.9	0	129.6
4	3	29	0	7	46	1	-174.9	0	186.6
4	3	30	0	6	47	1	-124.9	0	129.6
4	3	31	0	7	47	1	-124.9	0	186.6
4	4	0	0	7	61	1	-424.9	0	215.1
4	4	1	0	7	1	0	-462.5	0	201
4	4	2	0	6	61	1	-424.9	0	158.1
4	4	3	0	6	1	0	-462.5	0	144
4	4	4	0	7	60	1	-474.9	0	215.1
4	4	5	0	7	0	0	-487.5	0	201
4	4	6	0	6	60	1	-474.9	0	158.1
4	4	7	0	6	0	0	-487.5	0	144
4	4	8	0	6	2	0	-437.5	0	144
4	4	9	0	7	2	0	-437.5	0	201
4	4	10	0	6	3	0	-412.5	0	144
4	4	11	0	7	3	0	-412.5	0	201
4	4	12	0	6	62	1	-374.9	0	158.1
4	4	13	0	7	62	1	-374.9	0	215.1
4	4	14	0	6	63	1	-324.9	0	158.1
4	4	15	0	7	63	1	-324.9	0	215.1
4	4	16	0	7	7	0	-312.5	0	201
4	4	17	0	6	7	0	-312.5	0	144
4	4	18	0	7	6	0	-337.5	0	201
4	4	19	0	6	6	0	-337.5	0	144
4	4	20	0	7	5	0	-362.5	0	201
4	4	21	0	6	5	0	-362.5	0	144
4	4	22	0	7	4	0	-387.5	0	201
4	4	23	0	6	4	0	-387.5	0	144
4	4	24	0	7	41	1	-424.9	0	186.6
4	4	25	0	6	41	1	-424.9	0	129.6
4	4	26	0	6	40	1	-474.9	0	129.6
4	4	27	0	7	40	1	-474.9	0	186.6
4	4	28	0	6	42	1	-374.9	0	129.6
4	4	29	0	7	42	1	-374.9	0	186.6
4	4	30	0	6	43	1	-324.9	0	129.6
4	4	31	0	7	43	1	-324.9	0	186.6
4	5	0	0	5	77	1	375.1	0	101.1
4	5	1	0	5	33	0	337.5	0	87
4	5	2	0	4	77	1	375.1	0	44.1
4	5	3	0	4	33	0	337.5	0	30
4	5	4	0	5	76	1	325.1	0	101.1
4	5	5	0	5	32	0	312.5	0	87
4	5	6	0	4	76	1	325.1	0	44.1
4	5	7	0	4	32	0	312.5	0	30
4	5	8	0	4	34	0	362.5	0	30
4	5	9	0	5	34	0	362.5	0	87
4	5	10	0	4	35	0	387.5	0	30
4	5	11	0	5	35	0	387.5	0	87
4	5	12	0	4	78	1	425.1	0	44.1
4	5	13	0	5	78	1	425.1	0	101.1
4	5	14	0	4	79	1	475.1	0	44.1
4	5	15	0	5	79	1	475.1	0	101.1
4	5	16	0	5	39	0	487.5	0	87
4	5	17	0	4	39	0	487.5	0	30
4	5	18	0	5	38	0	462.5	0	87
4	5	19	0	4	38	0	462.5	0	30
4	5	20	0	5	37	0	437.5	0	87
4	5	21	0	4	37	0	437.5	0	30
4	5	22	0	5	36	0	412.5	0	87
4	5	23	0	4	36	0	412.5	0	30
4	5	24	0	5	57	1	375.1	0	72.6
4	5	25	0	4	57	1	375.1	0	15.6
4	5	26	0	4	56	1	325.1	0	15.6
4	5	27	0	5	56	1	325.1	0	72.6
4	5	28	0	4	58	1	425.1	0	15.6
4	5	29	0	5	58	1	425.1	0	72.6
4	5	30	0	4	59	1	475.1	0	15.6
4	5	31	0	5	59	1	475.1	0	72.6
4	6	0	0	5	73	1	175.1	0	101.1
4	6	1	0	5	25	0	137.5	0	87
4	6	2	0	4	73	1	175.1	0	44.1
4	6	3	0	4	25	0	137.5	0	30
4	6	4	0	5	72	1	125.1	0	101.1
4	6	5	0	5	24	0	112.5	0	87
4	6	6	0	4	72	1	125.1	0	44.1
4	6	7	0	4	24	0	112.5	0	30
4	6	8	0	4	26	0	162.5	0	30
4	6	9	0	5	26	0	162.5	0	87
4	6	10	0	4	27	0	187.5	0	30
4	6	11	0	5	27	0	187.5	0	87
4	6	12	0	4	74	1	225.1	0	44.1
4	6	13	0	5	74	1	225.1	0	101.1
4	6	14	0	4	75	1	275.1	0	44.1
4	6	15	0	5	75	1	275.1	0	101.1
4	6	16	0	5	31	0	287.5	0	87
4	6	17	0	4	31	0	287.5	0	30
4	6	18	0	5	30	0	262.5	0	87
4	6	19	0	4	30	0	262.5	0	30
4	6	20	0	5	29	0	237.5	0	87
4	6	21	0	4	29	0	237.5	0	30
4	6	22	0	5	28	0	212.5	0	87
4	6	23	0	4	28	0	212.5	0	30
4	6	24	0	5	53	1	175.1	0	72.6
4	6	25	0	4	53	1	175.1	0	15.6
4	6	26	0	4	52	1	125.1	0	15.6
4	6	27	0	5	52	1	125.1	0	72.6
4	6	28	0	4	54	1	225.1	0	15.6
4	6	29	0	5	54	1	225.1	0	72.6
4	6	30	0	4	55	1	275.1	0	15.6
4	6	31	0	5	55	1	275.1	0	72.6
4	7	0	0	5	69	1	-24.9	0	101.1
4	7	1	0	5	17	0	-62.5	0	87
4	7	2	0	4	69	1	-24.9	0	44.1
4	7	3	0	4	17	0	-62.5	0	30
4	7	4	0	5	68	1	-74.9	0	101.1
4	7	5	0	5	16	0	-87.5	0	87
4	7	6	0	4	68	1	-74.9	0	44.1
4	7	7	0	4	16	0	-87.5	0	30
4	7	8	0	4	18	0	-37.5	0	30
4	7	9	0	5	18	0	-37.5	0	87
4	7	10	0	4	19	0	-12.5	0	30
4	7	11	0	5	19	0	-12.5	0	87
4	7	12	0	4	70	1	25.1	0	44.1
4	7	13	0	5	70	1	25.1	0	101.1
4	7	14	0	4	71	1	75.1	0	44.1
4	7	15	0	5	71	1	75.1	0	101.1
4	7	16	0	5	23	0	87.5	0	87
4	7	17	0	4	23	0	87.5	0	30
4	7	18	0	5	22	0	62.5	0	87
4	7	19	0	4	22	0	62.5	0	30
4	7	20	0	5	21	0	37.5	0	87
4	7	21	0	4	21	0	37.5	0	30
4	7	22	0	5	20	0	12.5	0	87
4	7	23	0	4	20	0	12.5	0	30
4	7	24	0	5	49	1	-24.9	0	72.6
4	7	25	0	4	49	1	-24.9	0	15.6
4	7	26	0	4	48	1	-74.9	0	15.6
4	7	27	0	5	48	1	-74.9	0	72.6
4	7	28	0	4	50	1	25.1	0	15.6
4	7	29	0	5	50	1	25.1	0	72.6
4	7	30	0	4	51	1	75.1	0	15.6
4	7	31	0	5	51	1	75.1	0	72.6
4	8	0	0	5	65	1	-224.9	0	101.1
4	8	1	0	5	9	0	-262.5	0	87
4	8	2	0	4	65	1	-224.9	0	44.1
4	8	3	0	4	9	0	-262.5	0	30
4	8	4	0	5	64	1	-274.9	0	101.1
4	8	5	0	5	8	0	-287.5	0	87
4	8	6	0	4	64	1	-274.9	0	44.1
4	8	7	0	4	8	0	-287.5	0	30
4	8	8	0	4	10	0	-237.5	0	30
4	8	9	0	5	10	0	-237.5	0	87
4	8	10	0	4	11	0	-212.5	0	30
4	8	11	0	5	11	0	-212.5	0	87
4	8	12	0	4	66	1	-174.9	0	44.1
4	8	13	0	5	66	1	-174.9	0	101.1
4	8	14	0	4	67	1	-124.9	0	44.1
4	8	15	0	5	67	1	-124.9	0	101.1
4	8	16	0	5	15	0	-112.5	0	87
4	8	17	0	4	15	0	-112.5	0	30
4	8	18	0	5	14	0	-137.5	0	87
4	8	19	0	4	14	0	-137.5	0	30
4	8	20	0	5	13	0	-162.5	0	87
4	8	21	0	4	13	0	-162.5	0	30
4	8	22	0	5	12	0	-187.5	0	87
4	8	23	0	4	12	0	-187.5	0	30
4	8	24	0	5	45	1	-224.9	0	72.6
4	8	25	0	4	45	1	-224.9	0	15.6
4	8	26	0	4	44	1	-274.9	0	15.6
4	8	27	0	5	44	1	-274.9	0	72.6
4	8	28	0	4	46	1	-174.9	0	15.6
4	8	29	0	5	46	1	-174.9	0	72.6
4	8	30	0	4	47	1	-124.9	0	15.6
4	8	31	0	5	47	1	-124.9	0	72.6
4	9	0	0	5	61	1	-424.9	0	101.1
4	9	1	0	5	1	0	-462.5	0	87
4	9	2	0	4	61	1	-424.9	0	44.1
4	9	3	0	4	1	0	-462.5	0	30
4	9	4	0	5	60	1	-474.9	0	101.1
4	9	5	0	5	0	0	-487.5	0	87
4	9	6	0	4	60	1	-474.9	0	44.1
4	9	7	0	4	0	0	-487.5	0	30
4	9	8	0	4	2	0	-437.5	0	30
4	9	9	0	5	2	0	-437.5	0	87
4	9	10	0	4	3	0	-412.5	0	30
4	9	11	0	5	3	0	-412.5	0	87
4	9	12	0	4	62	1	-374.9	0	44.1
4	9	13	0	5	62	1	-374.9	0	101.1
4	9	14	0	4	63	1	-324.9	0	44.1
4	9	15	0	5	63	1	-324.9	0	101.1
4	9	16	0	5	7	0	-312.5	0	87
4	9	17	0	4	7	0	-312.5	0	30
4	9	18	0	5	6	0	-337.5	0	87
4	9	19	0	4	6	0	-337.5	0	30
4	9	20	0	5	5	0	-362.5	0	87
4	9	21	0	4	5	0	-362.5	0	30
4	9	22	0	5	4	0	-387.5	0	87
4	9	23	0	4	4	0	-387.5	0	30
4	9	24	0	5	41	1	-424.9	0	72.6
4	9	25	0	4	41	1	-424.9	0	15.6
4	9	26	0	4	40	1	-474.9	0	15.6
4	9	27	0	5	40	1	-474.9	0	72.6
4	9	28	0	4	42	1	-374.9	0	15.6
4	9	29	0	5	42	1	-374.9	0	72.6
4	9	30	0	4	43	1	-324.9	0	15.6
4	9	31	0	5	43	1	-324.9	0	72.6
4	10	0	0	3	77	1	375.1	0	-12.9
4	10	1	0	3	33	0	337.5	0	-27
4	10	2	0	2	77	1	375.1	0	-69.9
4	10	3	0	2	33	0	337.5	0	-84
4	10	4	0	3	76	1	325.1	0	-12.9
4	10	5	0	3	32	0	312.5	0	-27
4	10	6	0	2	76	1	325.1	0	-69.9
4	10	7	0	2	32	0	312.5	0	-84
4	10	8	0	2	34	0	362.5	0	-84
4	10	9	0	3	34	0	362.5	0	-27
4	10	10	0	2	35	0	387.5	0	-84
4	10	11	0	3	35	0	387.5	0	-27
4	10	12	0	2	78	1	425.1	0	-69.9
4	10	13	0	3	78	1	425.1	0	-12.9
4	10	14	0	2	79	1	475.1	0	-69.9
4	10	15	0	3	79	1	475.1	0	-12.9
4	10	16	0	3	39	0	487.5	0	-27
4	10	17	0	2	39	0	487.5	0	-84
4	10	18	0	3	38	0	462.5	0	-27
4	10	19	0	2	38	0	462.5	0	-84
4	10	20	0	3	37	0	437.5	0	-27
4	10	21	0	2	37	0	437.5	0	-84
4	10	22	0	3	36	0	412.5	0	-27
4	10	23	0	2	36	0	412.5	0	-84
4	10	24	0	3	57	1	375.1	0	-41.4
4	10	25	0	2	57	1	375.1	0	-98.4
4	10	26	0	2	56	1	325.1	0	-98.4
4	10	27	0	3	56	1	325.1	0	-41.4
4	10	28	0	2	58	1	425.1	0	-98.4
4	10	29	0	3	58	1	425.1	0	-41.4
4	10	30	0	2	59	1	475.1	0	-98.4
4	10	31	0	3	59	1	475.1	0	-41.4
4	11	0	0	3	73	1	175.1	0	-12.9
4	11	1	0	3	25	0	137.5	0	-27
4	11	2	0	2	73	1	175.1	0	-69.9
4	11	3	0	2	25	0	137.5	0	-84
4	11	4	0	3	72	1	125.1	0	-12.9
4	11	5	0	3	24	0	112.5	0	-27
4	11	6	0	2	72	1	125.1	0	-69.9
4	11	7	0	2	24	0	112.5	0	-84
4	11	8	0	2	26	0	162.5	0	-84
4	11	9	0	3	26	0	162.5	0	-27
4	11	10	0	2	27	0	187.5	0	-84
4	11	11	0	3	27	0	187.5	0	-27
4	11	12	0	2	74	1	225.1	0	-69.9
4	11	13	0	3	74	1	225.1	0	-12.9
4	11	14	0	2	75	1	275.1	0	-69.9
4	11	15	0	3	75	1	275.1	0	-12.9
4	11	16	0	3	31	0	287.5	0	-27
4	11	17	0	2	31	0	287.5	0	-84
4	11	18	0	3	30	0	262.5	0	-27
4	11	19	0	2	30	0	262.5	0	-84
4	11	20	0	3	29	0	237.5	0	-27
4	11	21	0	2	29	0	237.5	0	-84
4	11	22	0	3	28	0	212.5	0	-27
4	11	23	0	2	28	0	212.5	0	-84
4	11	24	0	3	53	1	175.1	0	-41.4
4	11	25	0	2	53	1	175.1	0	-98.4
4	11	26	0	2	52	1	125.1	0	-98.4
4	11	27	0	3	52	1	125.1	0	-41.4
4	11	28	0	2	54	1	225.1	0	-98.4
4	11	29	0	3	54	1	225.1	0	-41.4
4	11	30	0	2	55	1	275.1	0	-98.4
4	11	31	0	3	55	1	275.1	0	-41.4
4	12	0	0	3	69	1	-24.9	0	-12.9
4	12	1	0	3	17	0	-62.5	0	-27
4	12	2	0	2	69	1	-24.9	0	-69.9
4	12	3	0	2	17	0	-62.5	0	-84
4	12	4	0	3	68	1	-74.9	0	-12.9
4	12	5	0	3	16	0	-87.5	0	-27
4	12	6	0	2	68	1	-74.9	0	-69.9
4	12	7	0	2	16	0	-87.5	0	-84
4	12	8	0	2	18	0	-37.5	0	-84
4	12	9	0	3	18	0	-37.5	0	-27
4	12	10	0	2	19	0	-12.5	0	-84
4	12	11	0	3	19	0	-12.5	0	-27
4	12	12	0	2	70	1	25.1	0	-69.9
4	12	13	0	3	70	1	25.1	0	-12.9
4	12	14	0	2	71	1	75.1	0	-69.9
4	12	15	0	3	71	1	75.1	0	-12.9
4	12	16	0	3	23	0	87.5	0	-27
4	12	17	0	2	23	0	87.5	0	-84
4	12	18	0	3	22	0	62.5	0	-27
4	12	19	0	2	22	0	62.5	0	-84
4	12	20	0	3	21	0	37.5	0	-27
4	12	21	0	2	21	0	37.5	0	-84
4	12	22	0	3	20	0	12.5	0	-27
4	12	23	0	2	20	0	12.5	0	-84
4	12	24	0	3	49	1	-24.9	0	-41.4
4	12	25	0	2	49	1	-24.9	0	-98.4
4	12	26	0	2	48	1	-74.9	0	-98.4
4	12	27	0	3	48	1	-74.9	0	-41.4
4	12	28	0	2	50	1	25.1	0	-98.4
4	12	29	0	3	50	1	25.1	0	-41.4
4	12	30	0	2	51	1	75.1	0	-98.4
4	12	31	0	3	51	1	75.1	0	-41.4
4	13	0	0	3	65	1	-224.9	0	-12.9
4	13	1	0	3	9	0	-262.5	0	-27
4	13	2	0	2	65	1	-224.9	0	-69.9
4	13	3	0	2	9	0	-262.5	0	-84
4	13	4	0	3	64	1	-274.9	0	-12.9
4	13	5	0	3	8	0	-287.5	0	-27
4	13	6	0	2	64	1	-274.9	0	-69.9
4	13	7	0	2	8	0	-287.5	0	-84
4	13	8	0	2	10	0	-237.5	0	-84
4	13	9	0	3	10	0	-237.5	0	-27
4	13	10	0	2	11	0	-212.5	0	-84
4	13	11	0	3	11	0	-212.5	0	-27
4	13	12	0	2	66	1	-174.9	0	-69.9
4	13	13	0	3	66	1	-174.9	0	-12.9
4	13	14	0	2	67	1	-124.9	0	-69.9
4	13	15	0	3	67	1	-124.9	0	-12.9
4	13	16	0	3	15	0	-112.5	0	-27
4	13	17	0	2	15	0	-112.5	0	-84
4	13	18	0	3	14	0	-137.5	0	-27
4	13	19	0	2	14	0	-137.5	0	-84
4	13	20	0	3	13	0	-162.5	0	-27
4	13	21	0	2	13	0	-162.5	0	-84
4	13	22	0	3	12	0	-187.5	0	-27
4	13	23	0	2	12	0	-187.5	0	-84
4	13	24	0	3	45	1	-224.9	0	-41.4
4	13	25	0	2	45	1	-224.9	0	-98.4
4	13	26	0	2	44	1	-274.9	0	-98.4
4	13	27	0	3	44	1	-274.9	0	-41.4
4	13	28	0	2	46	1	-174.9	0	-98.4
4	13	29	0	3	46	1	-174.9	0	-41.4
4	13	30	0	2	47	1	-124.9	0	-98.4
4	13	31	0	3	47	1	-124.9	0	-41.4
4	14	0	0	3	61	1	-424.9	0	-12.9
4	14	1	0	3	1	0	-462.5	0	-27
4	14	2	0	2	61	1	-424.9	0	-69.9
4	14	3	0	2	1	0	-462.5	0	-84
4	14	4	0	3	60	1	-474.9	0	-12.9
4	14	5	0	3	0	0	-487.5	0	-27
4	14	6	0	2	60	1	-474.9	0	-69.9
4	14	7	0	2	0	0	-487.5	0	-84
4	14	8	0	2	2	0	-437.5	0	-84
4	14	9	0	3	2	0	-437.5	0	-27
4	14	10	0	2	3	0	-412.5	0	-84
4	14	11	0	3	3	0	-412.5	0	-27
4	14	12	0	2	62	1	-374.9	0	-69.9
4	14	13	0	3	62	1	-374.9	0	-12.9
4	14	14	0	2	63	1	-324.9	0	-69.9
4	14	15	0	3	63	1	-324.9	0	-12.9
4	14	16	0	3	7	0	-312.5	0	-27
4	14	17	0	2	7	0	-312.5	0	-84
